"anime_title","anime_premiere","anime_release","anime_nextair","anime_img","anime_badge"
"100 Sleeping Princes & the Kingdom of Dreams","7/5/2018 12:00:00 AM","7/5/2018 12:00:00 AM","","//static.hidive.com/titles/OSP/OSP_01_MASTER_300x169.jpg","Exclusive"
"A Little Snow Fairy Sugar","10/2/2001 12:00:00 AM","10/2/2001 12:00:00 AM","","//static.hidive.com/titles/LSF/LSF_01_MASTER_300x169.jpg","Dubbed"
"Action Heroine Cheer Fruits","7/6/2017 12:00:00 AM","7/6/2017 5:00:00 PM","","//static.hidive.com/titles/ACF/action-heroine-cheer-fruits_ACF_MASTER_300x169.jpg",NA
"After the Rain","1/12/2018 12:00:00 AM","3/31/2021 1:00:00 PM","","//static.hidive.com/titles/ATR/after-the-rain_ATR_01_MASTER_300x169.jpg","Dubbed"
"Ahiru no Sora","10/2/2019 12:00:00 AM","9/30/2019 5:00:00 PM","","//static.hidive.com/titles/ANS/ahiru-no-sora_ANS_01_MASTER_300x169_01.jpg","Dubbed"
"Akame ga Kill!","7/6/2014 12:00:00 AM","7/6/2014 12:00:00 PM","","//static.hidive.com/titles/AGK/AGK_MASTER_300x169.jpg","Dubbed"
"AKB48 Ne-Mouse TV Season 14","1/19/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/AKN/AKN_14_MASTER_300x169.jpg",NA
"AKB48 Ne-Mouse TV Season 3","10/9/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/AKN/AKN_03_MASTER_300x169.jpg",NA
"Akikan!","1/3/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/AK/AK_MASTER_300x169.jpg",NA
"Amagami SS","7/1/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/AMG/AMG_MASTER_300x169.jpg",NA
"Amagami SS+ Plus","1/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/ASS/ASS_MASTER_300x169.jpg",NA
"Amagi Brilliant Park","10/6/2014 12:00:00 AM","10/20/2016 7:00:00 PM","","//static.hidive.com/titles/ABP/ABP_01_MASTER_300x169.jpg","Dubbed"
"And Yet the Town Moves","10/8/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/YTM/YTM_MASTER_300x169.jpg",NA
"Angelic Layer","4/1/2001 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/ANG/ANG_MASTER_300x169.jpg","Dubbed"
"Anonymous Noise","4/11/2017 12:00:00 AM","4/1/2017 12:00:00 AM","","//static.hidive.com/titles/AYN/AYN_01_MASTER_300x169.jpg","Dubbed"
"Ao-chan Can't Study!","4/5/2019 12:00:00 AM","4/1/2019 5:00:00 PM","","//static.hidive.com/titles/ACS/ao-chan-cant-study_ACS_01_MASTER_300x169.jpg","Dubbed"
"Aoharu x Machinegun","7/3/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/AXM/AXM_MASTER_300x169.jpg","Dubbed"
"Armed Girl's Machiavellism","4/5/2017 12:00:00 AM","4/1/2017 12:00:00 AM","","//static.hidive.com/titles/AGM/AGM_01_MASTER_300x169.jpg","Dubbed"
"Armored Trooper VOTOMS","4/1/1983 12:00:00 AM","7/23/2018 5:00:00 AM","","//static.hidive.com/titles/ATV/ATV_01_MASTER_300x169.jpg","Exclusive"
"ASSASSINS PRIDE","10/10/2019 12:00:00 AM","10/3/2019 5:00:00 PM","","//static.hidive.com/titles/APR/assassins-pride_APR_01_MASTER_300x169_01.jpg","Dubbed"
"Asura Cryin'","4/2/2009 12:00:00 AM","8/6/2019 5:00:00 PM","","//static.hidive.com/titles/ASC/asura-cryin-ASC_01_MASTER_300x169.jpg",NA
"Asura Cryin' 2","10/1/2009 12:00:00 AM","8/6/2019 5:00:00 PM","","//static.hidive.com/titles/ASC/asura-cryin-season-2-ASC_02_MASTER_300x169.jpg",NA
"Atom: The Beginning","4/15/2017 12:00:00 AM","4/1/2017 12:00:00 AM","","//static.hidive.com/titles/ATB/ATB_01_MASTER_300x169.jpg",NA
"Aura Battler Dunbine","2/5/1983 12:00:00 AM","4/13/2018 10:00:00 PM","","//static.hidive.com/titles/ABD/ABD_01_MASTER_300x169.jpg","Dubbed"
"Azumanga Daioh","4/8/2002 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/AZD/AZD_01_MASTER_300x169.jpg","Dubbed"
"Bakuon!!","4/5/2016 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/BKN/BKN_01_MASTER_300x169.jpg",NA
"BanG Dream!","1/21/2017 12:00:00 AM","1/21/2017 2:00:00 PM","","//static.hidive.com/titles/BNG/BNG_MASTER_300x169.jpg",NA
"BanG Dream! 3rd Season","1/7/2020 12:00:00 AM","1/6/2020 6:00:00 PM","","//static.hidive.com/titles/BNG/bang-dream-s3-BNG_03_MASTER_300x169.jpg",NA
"BanG Dream! S2","1/3/2019 12:00:00 AM","1/2/2019 2:00:00 PM","","//static.hidive.com/titles/BNG/BNG_02_MASTER_300x169.jpg","Dubbed"
"Basquash!","4/2/2009 12:00:00 AM","7/15/2019 5:00:00 PM","","//static.hidive.com/titles/BSQ/basquash-BSQ_01_MASTER_300x169.jpg",NA
"Battle Girl High School","7/2/2017 12:00:00 AM","6/30/2017 5:00:00 PM","","//static.hidive.com/titles/BGH/BGH_01_MASTER_300x169.jpg","Exclusive"
"Battle Girls: Time Paradox","4/5/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/SGO/SGO_MASTER_300x169.jpg","Dubbed"
"Beautiful Bones -Sakurako's Investigation-","10/8/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/BBS/BBS_MASTER_300x169.jpg",NA
"Bermuda Triangle ~ Colorful Pastorale","1/12/2019 12:00:00 AM","1/12/2019 2:00:00 PM","","//static.hidive.com/titles/BRT/BRT_01_MASTER_300x169.jpg","Exclusive"
"Between the Sky and Sea","10/3/2018 12:00:00 AM","11/15/2018 6:00:00 PM","","//static.hidive.com/titles/BSS/BSS_01_MASTER_300x169.jpg",NA
"Beyond the Boundary","10/2/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","//static.hidive.com/titles/BTB/BTB_MASTER_300x169.jpg","Dubbed"
"The Big O","10/13/1999 12:00:00 AM","3/1/2017 12:00:00 AM","","//static.hidive.com/titles/BGO/BGO_01_MASTER_300x169.jpg","Dubbed"
"Bloom Into You","10/5/2018 12:00:00 AM","9/27/2018 9:00:00 PM","","//static.hidive.com/titles/BIB/BIB_01_MASTER_300x169_01.jpg","Dubbed"
"Blue Gale Xabungle","2/6/1982 12:00:00 AM","8/9/2017 7:00:00 PM","","//static.hidive.com/titles/XBG/XBG_01_MASTER_300x169.jpg","Exclusive"
"Blue Seed","10/5/1994 12:00:00 AM","7/22/2019 5:00:00 PM","","//static.hidive.com/titles/BLS/blue-seed_BLS_01_MASTER_300x169.jpg","Dubbed"
